# diffkk: no title lines specified
#------------------------
#   energy    f1        f2        f1_cl     f2_cl
  6664.0000       -2.4662032       0.52587083       -2.4662032       0.52587083
  6665.0000       -2.4682613       0.52572902       -2.4682613       0.52572902
  6666.0000       -2.4703244       0.52558726       -2.4703244       0.52558726
  6667.0000       -2.4723926       0.52544556       -2.4723926       0.52544556
  6668.0000       -2.4744659       0.52530392       -2.4744659       0.52530392
  6669.0000       -2.4765442       0.52516234       -2.4765442       0.52516234
  6670.0000       -2.4786276       0.52502082       -2.4786276       0.52502082
  6671.0000       -2.4807162       0.52487935       -2.4807162       0.52487935
  6672.0000       -2.4828099       0.52473795       -2.4828099       0.52473795
  6673.0000       -2.4849088       0.52459660       -2.4849088       0.52459660
  6674.0000       -2.4870129       0.52445530       -2.4870129       0.52445530
  6675.0000       -2.4891222       0.52431407       -2.4891222       0.52431407
  6676.0000       -2.4912368       0.52417290       -2.4912368       0.52417290
  6677.0000       -2.4933567       0.52403178       -2.4933567       0.52403178
  6678.0000       -2.4954818       0.52389072       -2.4954818       0.52389072
  6679.0000       -2.4976123       0.52374972       -2.4976123       0.52374972
  6680.0000       -2.4997482       0.52360877       -2.4997482       0.52360877
  6681.0000       -2.5018894       0.52346789       -2.5018894       0.52346789
  6682.0000       -2.5040361       0.52332706       -2.5040361       0.52332706
  6683.0000       -2.5061882       0.52318629       -2.5061882       0.52318629
  6684.0000       -2.5083457       0.52304557       -2.5083457       0.52304557
  6685.0000       -2.5105087       0.52290492       -2.5105087       0.52290492
  6686.0000       -2.5126773       0.52276432       -2.5126773       0.52276432
  6687.0000       -2.5148514       0.52262378       -2.5148514       0.52262378
  6688.0000       -2.5170310       0.52248329       -2.5170310       0.52248329
  6689.0000       -2.5192163       0.52234287       -2.5192163       0.52234287
  6690.0000       -2.5214071       0.52220250       -2.5214071       0.52220250
  6691.0000       -2.5236036       0.52206219       -2.5236036       0.52206219
  6692.0000       -2.5258058       0.52192194       -2.5258058       0.52192194
  6693.0000       -2.5280137       0.52178174       -2.5280137       0.52178174
  6694.0000       -2.5302274       0.52164160       -2.5302274       0.52164160
  6695.0000       -2.5324468       0.52150152       -2.5324468       0.52150152
  6696.0000       -2.5346720       0.52136149       -2.5346720       0.52136149
  6697.0000       -2.5369030       0.52122153       -2.5369030       0.52122153
  6698.0000       -2.5391399       0.52108162       -2.5391399       0.52108162
  6699.0000       -2.5413826       0.52094177       -2.5413826       0.52094177
  6700.0000       -2.5436313       0.52080197       -2.5436313       0.52080197
  6701.0000       -2.5458859       0.52066223       -2.5458859       0.52066223
  6702.0000       -2.5481465       0.52052255       -2.5481465       0.52052255
  6703.0000       -2.5504130       0.52038293       -2.5504130       0.52038293
  6704.0000       -2.5526856       0.52024336       -2.5526856       0.52024336
  6705.0000       -2.5549643       0.52010385       -2.5549643       0.52010385
  6706.0000       -2.5572490       0.51996439       -2.5572490       0.51996439
  6707.0000       -2.5595399       0.51982500       -2.5595399       0.51982500
  6708.0000       -2.5618369       0.51968566       -2.5618369       0.51968566
  6709.0000       -2.5641402       0.51954638       -2.5641402       0.51954638
  6710.0000       -2.5664496       0.51940715       -2.5664496       0.51940715
  6711.0000       -2.5687653       0.51926798       -2.5687653       0.51926798
  6712.0000       -2.5710873       0.51912887       -2.5710873       0.51912887
  6713.0000       -2.5734155       0.51898981       -2.5734155       0.51898981
  6714.0000       -2.5757502       0.51885081       -2.5757502       0.51885081
  6715.0000       -2.5780912       0.51871187       -2.5780912       0.51871187
  6716.0000       -2.5804386       0.51857299       -2.5804386       0.51857299
  6717.0000       -2.5827925       0.51843416       -2.5827925       0.51843416
  6718.0000       -2.5851529       0.51829538       -2.5851529       0.51829538
  6719.0000       -2.5875198       0.51815667       -2.5875198       0.51815667
  6720.0000       -2.5898932       0.51801801       -2.5898932       0.51801801
  6721.0000       -2.5922732       0.51787940       -2.5922732       0.51787940
  6722.0000       -2.5946599       0.51774086       -2.5946599       0.51774086
  6723.0000       -2.5970532       0.51760237       -2.5970532       0.51760237
  6724.0000       -2.5994532       0.51746393       -2.5994532       0.51746393
  6725.0000       -2.6018599       0.51732556       -2.6018599       0.51732556
  6726.0000       -2.6042734       0.51718724       -2.6042734       0.51718724
  6727.0000       -2.6066936       0.51704897       -2.6066936       0.51704897
  6728.0000       -2.6091208       0.51691076       -2.6091208       0.51691076
  6729.0000       -2.6115548       0.51677261       -2.6115548       0.51677261
  6730.0000       -2.6139957       0.51663451       -2.6139957       0.51663451
  6731.0000       -2.6164435       0.51649647       -2.6164435       0.51649647
  6732.0000       -2.6188984       0.51635849       -2.6188984       0.51635849
  6733.0000       -2.6213603       0.51622056       -2.6213603       0.51622056
  6734.0000       -2.6238292       0.51608269       -2.6238292       0.51608269
  6735.0000       -2.6263052       0.51594488       -2.6263052       0.51594488
  6736.0000       -2.6287884       0.51580712       -2.6287884       0.51580712
  6737.0000       -2.6312788       0.51566941       -2.6312788       0.51566941
  6738.0000       -2.6337764       0.51553176       -2.6337764       0.51553176
  6739.0000       -2.6362812       0.51539417       -2.6362812       0.51539417
  6740.0000       -2.6387934       0.51525664       -2.6387934       0.51525664
  6741.0000       -2.6413129       0.51511916       -2.6413129       0.51511916
  6742.0000       -2.6438397       0.51498173       -2.6438397       0.51498173
  6743.0000       -2.6463740       0.51484436       -2.6463740       0.51484436
  6744.0000       -2.6489158       0.51470705       -2.6489158       0.51470705
  6745.0000       -2.6514651       0.51456979       -2.6514651       0.51456979
  6746.0000       -2.6540219       0.51443259       -2.6540219       0.51443259
  6747.0000       -2.6565863       0.51429545       -2.6565863       0.51429545
  6748.0000       -2.6591584       0.51415836       -2.6591584       0.51415836
  6749.0000       -2.6617381       0.51402132       -2.6617381       0.51402132
  6750.0000       -2.6643256       0.51388434       -2.6643256       0.51388434
  6751.0000       -2.6669208       0.51374742       -2.6669208       0.51374742
  6752.0000       -2.6695239       0.51361055       -2.6695239       0.51361055
  6753.0000       -2.6721348       0.51347374       -2.6721348       0.51347374
  6754.0000       -2.6747536       0.51333699       -2.6747536       0.51333699
  6755.0000       -2.6773804       0.51320028       -2.6773804       0.51320028
  6756.0000       -2.6800151       0.51306364       -2.6800151       0.51306364
  6757.0000       -2.6826579       0.51292705       -2.6826579       0.51292705
  6758.0000       -2.6853088       0.51279051       -2.6853088       0.51279051
  6759.0000       -2.6879679       0.51265403       -2.6879679       0.51265403
  6760.0000       -2.6906351       0.51251761       -2.6906351       0.51251761
  6761.0000       -2.6933105       0.51238124       -2.6933105       0.51238124
  6762.0000       -2.6959942       0.51224492       -2.6959942       0.51224492
  6763.0000       -2.6986863       0.51210867       -2.6986863       0.51210867
  6764.0000       -2.7013868       0.51197246       -2.7013868       0.51197246
  6765.0000       -2.7040956       0.51183631       -2.7040956       0.51183631
  6766.0000       -2.7068130       0.51170022       -2.7068130       0.51170022
  6767.0000       -2.7095389       0.51156418       -2.7095389       0.51156418
  6768.0000       -2.7122733       0.51142820       -2.7122733       0.51142820
  6769.0000       -2.7150164       0.51129227       -2.7150164       0.51129227
  6770.0000       -2.7177682       0.51115640       -2.7177682       0.51115640
  6771.0000       -2.7205288       0.51102058       -2.7205288       0.51102058
  6772.0000       -2.7232981       0.51088481       -2.7232981       0.51088481
  6773.0000       -2.7260762       0.51074911       -2.7260762       0.51074911
  6774.0000       -2.7288633       0.51061345       -2.7288633       0.51061345
  6775.0000       -2.7316593       0.51047785       -2.7316593       0.51047785
  6776.0000       -2.7344644       0.51034231       -2.7344644       0.51034231
  6777.0000       -2.7372785       0.51020682       -2.7372785       0.51020682
  6778.0000       -2.7401017       0.51007138       -2.7401017       0.51007138
  6779.0000       -2.7429341       0.50993600       -2.7429341       0.50993600
  6780.0000       -2.7457757       0.50980068       -2.7457757       0.50980068
  6781.0000       -2.7486266       0.50966541       -2.7486266       0.50966541
  6782.0000       -2.7514869       0.50953019       -2.7514869       0.50953019
  6783.0000       -2.7543566       0.50939503       -2.7543566       0.50939503
  6784.0000       -2.7572358       0.50925992       -2.7572358       0.50925992
  6785.0000       -2.7601244       0.50912487       -2.7601244       0.50912487
  6786.0000       -2.7630227       0.50898987       -2.7630227       0.50898987
  6787.0000       -2.7659306       0.50885493       -2.7659306       0.50885493
  6788.0000       -2.7688483       0.50872004       -2.7688483       0.50872004
  6789.0000       -2.7717757       0.50858521       -2.7717757       0.50858521
  6790.0000       -2.7747129       0.50845043       -2.7747129       0.50845043
  6791.0000       -2.7776601       0.50831570       -2.7776601       0.50831570
  6792.0000       -2.7806172       0.50818103       -2.7806172       0.50818103
  6793.0000       -2.7835843       0.50804641       -2.7835843       0.50804641
  6794.0000       -2.7865615       0.50791185       -2.7865615       0.50791185
  6795.0000       -2.7895489       0.50777734       -2.7895489       0.50777734
  6796.0000       -2.7925465       0.50764288       -2.7925465       0.50764288
  6797.0000       -2.7955544       0.50750848       -2.7955544       0.50750848
  6798.0000       -2.7985727       0.50737414       -2.7985727       0.50737414
  6799.0000       -2.8016014       0.50723985       -2.8016014       0.50723985
  6800.0000       -2.8046405       0.50710561       -2.8046405       0.50710561
  6801.0000       -2.8076903       0.50697142       -2.8076903       0.50697142
  6802.0000       -2.8107507       0.50683729       -2.8107507       0.50683729
  6803.0000       -2.8138218       0.50670322       -2.8138218       0.50670322
  6804.0000       -2.8169036       0.50656919       -2.8169036       0.50656919
  6805.0000       -2.8199963       0.50643523       -2.8199963       0.50643523
  6806.0000       -2.8231000       0.50630131       -2.8231000       0.50630131
  6807.0000       -2.8262146       0.50616745       -2.8262146       0.50616745
  6808.0000       -2.8293403       0.50603365       -2.8293403       0.50603365
  6809.0000       -2.8324772       0.50589989       -2.8324772       0.50589989
  6810.0000       -2.8356253       0.50576619       -2.8356253       0.50576619
  6811.0000       -2.8387847       0.50563255       -2.8387847       0.50563255
  6812.0000       -2.8419554       0.50549896       -2.8419554       0.50549896
  6813.0000       -2.8451377       0.50536542       -2.8451377       0.50536542
  6814.0000       -2.8483314       0.50523194       -2.8483314       0.50523194
  6815.0000       -2.8515368       0.50509851       -2.8515368       0.50509851
  6816.0000       -2.8547539       0.50496513       -2.8547539       0.50496513
  6817.0000       -2.8579827       0.50483181       -2.8579827       0.50483181
  6818.0000       -2.8612234       0.50469854       -2.8612234       0.50469854
  6819.0000       -2.8644761       0.50456532       -2.8644761       0.50456532
  6820.0000       -2.8677407       0.50443216       -2.8677407       0.50443216
  6821.0000       -2.8710175       0.50429905       -2.8710175       0.50429905
  6822.0000       -2.8743065       0.50416599       -2.8743065       0.50416599
  6823.0000       -2.8776078       0.50403299       -2.8776078       0.50403299
  6824.0000       -2.8809215       0.50390004       -2.8809215       0.50390004
  6825.0000       -2.8842476       0.50376715       -2.8842476       0.50376715
  6826.0000       -2.8875862       0.50363430       -2.8875862       0.50363430
  6827.0000       -2.8909376       0.50350151       -2.8909376       0.50350151
  6828.0000       -2.8943016       0.50336878       -2.8943016       0.50336878
  6829.0000       -2.8976785       0.50323610       -2.8976785       0.50323610
  6830.0000       -2.9010683       0.50310347       -2.9010683       0.50310347
  6831.0000       -2.9044711       0.50297089       -2.9044711       0.50297089
  6832.0000       -2.9078870       0.50283837       -2.9078870       0.50283837
  6833.0000       -2.9113161       0.50270590       -2.9113161       0.50270590
  6834.0000       -2.9147586       0.50257348       -2.9147586       0.50257348
  6835.0000       -2.9182144       0.50244112       -2.9182144       0.50244112
  6836.0000       -2.9216838       0.50230881       -2.9216838       0.50230881
  6837.0000       -2.9251667       0.50217655       -2.9251667       0.50217655
  6838.0000       -2.9286634       0.50204434       -2.9286634       0.50204434
  6839.0000       -2.9321738       0.50191219       -2.9321738       0.50191219
  6840.0000       -2.9356982       0.50178009       -2.9356982       0.50178009
  6841.0000       -2.9392366       0.50164805       -2.9392366       0.50164805
  6842.0000       -2.9427891       0.50151606       -2.9427891       0.50151606
  6843.0000       -2.9463559       0.50138412       -2.9463559       0.50138412
  6844.0000       -2.9499370       0.50125223       -2.9499370       0.50125223
  6845.0000       -2.9535326       0.50112039       -2.9535326       0.50112039
  6846.0000       -2.9571427       0.50098861       -2.9571427       0.50098861
  6847.0000       -2.9607675       0.50085688       -2.9607675       0.50085688
  6848.0000       -2.9644071       0.50072521       -2.9644071       0.50072521
  6849.0000       -2.9680616       0.50059358       -2.9680616       0.50059358
  6850.0000       -2.9717311       0.50046201       -2.9717311       0.50046201
  6851.0000       -2.9754158       0.50033049       -2.9754158       0.50033049
  6852.0000       -2.9791158       0.50019903       -2.9791158       0.50019903
  6853.0000       -2.9828311       0.50006761       -2.9828311       0.50006761
  6854.0000       -2.9865619       0.49993625       -2.9865619       0.49993625
  6855.0000       -2.9903084       0.49980494       -2.9903084       0.49980494
  6856.0000       -2.9940706       0.49967369       -2.9940706       0.49967369
  6857.0000       -2.9978487       0.49954248       -2.9978487       0.49954248
  6858.0000       -3.0016428       0.49941133       -3.0016428       0.49941133
  6859.0000       -3.0054531       0.49928023       -3.0054531       0.49928023
  6860.0000       -3.0092796       0.49914919       -3.0092796       0.49914919
  6861.0000       -3.0131226       0.49901819       -3.0131226       0.49901819
  6862.0000       -3.0169820       0.49888725       -3.0169820       0.49888725
  6863.0000       -3.0208582       0.49875636       -3.0208582       0.49875636
  6864.0000       -3.0247512       0.49862553       -3.0247512       0.49862553
  6865.0000       -3.0286611       0.49849474       -3.0286611       0.49849474
  6866.0000       -3.0325881       0.49836401       -3.0325881       0.49836401
  6867.0000       -3.0365324       0.49823333       -3.0365324       0.49823333
  6868.0000       -3.0404940       0.49810270       -3.0404940       0.49810270
  6869.0000       -3.0444732       0.49797212       -3.0444732       0.49797212
  6870.0000       -3.0484700       0.49784160       -3.0484700       0.49784160
  6871.0000       -3.0524847       0.49771112       -3.0524847       0.49771112
  6872.0000       -3.0565174       0.49758070       -3.0565174       0.49758070
  6873.0000       -3.0605682       0.49745034       -3.0605682       0.49745034
  6874.0000       -3.0646373       0.49732002       -3.0646373       0.49732002
  6875.0000       -3.0687248       0.49718975       -3.0687248       0.49718975
  6876.0000       -3.0728310       0.49705954       -3.0728310       0.49705954
  6877.0000       -3.0769559       0.49692938       -3.0769559       0.49692938
  6878.0000       -3.0810998       0.49679927       -3.0810998       0.49679927
  6879.0000       -3.0852627       0.49666922       -3.0852627       0.49666922
  6880.0000       -3.0894450       0.49653921       -3.0894450       0.49653921
  6881.0000       -3.0936467       0.49640926       -3.0936467       0.49640926
  6882.0000       -3.0978680       0.49627935       -3.0978680       0.49627935
  6883.0000       -3.1021090       0.49614950       -3.1021090       0.49614950
  6884.0000       -3.1063701       0.49601971       -3.1063701       0.49601971
  6885.0000       -3.1106513       0.49588996       -3.1106513       0.49588996
  6886.0000       -3.1149529       0.49576026       -3.1149529       0.49576026
  6887.0000       -3.1192749       0.49563062       -3.1192749       0.49563062
  6888.0000       -3.1236177       0.49550103       -3.1236177       0.49550103
  6889.0000       -3.1279814       0.49537149       -3.1279814       0.49537149
  6890.0000       -3.1323661       0.49524200       -3.1323661       0.49524200
  6891.0000       -3.1367722       0.49511256       -3.1367722       0.49511256
  6892.0000       -3.1411997       0.49498318       -3.1411997       0.49498318
  6893.0000       -3.1456489       0.49485384       -3.1456489       0.49485384
  6894.0000       -3.1501200       0.49472456       -3.1501200       0.49472456
  6895.0000       -3.1546131       0.49459533       -3.1546131       0.49459533
  6896.0000       -3.1591286       0.49446615       -3.1591286       0.49446615
  6897.0000       -3.1636666       0.49433702       -3.1636666       0.49433702
  6898.0000       -3.1682273       0.49420794       -3.1682273       0.49420794
  6899.0000       -3.1728110       0.49407891       -3.1728110       0.49407891
  6900.0000       -3.1774178       0.49394994       -3.1774178       0.49394994
  6901.0000       -3.1820481       0.49382101       -3.1820481       0.49382101
  6902.0000       -3.1867019       0.49369214       -3.1867019       0.49369214
  6903.0000       -3.1913796       0.49356332       -3.1913796       0.49356332
  6904.0000       -3.1960814       0.49343455       -3.1960814       0.49343455
  6905.0000       -3.2008075       0.49330583       -3.2008075       0.49330583
  6906.0000       -3.2055582       0.49317716       -3.2055582       0.49317716
  6907.0000       -3.2103337       0.49304854       -3.2103337       0.49304854
  6908.0000       -3.2151342       0.49291997       -3.2151342       0.49291997
  6909.0000       -3.2199601       0.49279146       -3.2199601       0.49279146
  6910.0000       -3.2248115       0.49266299       -3.2248115       0.49266299
  6911.0000       -3.2296887       0.49253458       -3.2296887       0.49253458
  6912.0000       -3.2345921       0.49240622       -3.2345921       0.49240622
  6913.0000       -3.2395218       0.49227791       -3.2395218       0.49227791
  6914.0000       -3.2444781       0.49214965       -3.2444781       0.49214965
  6915.0000       -3.2494613       0.49202144       -3.2494613       0.49202144
  6916.0000       -3.2544718       0.49189328       -3.2544718       0.49189328
  6917.0000       -3.2595097       0.49176517       -3.2595097       0.49176517
  6918.0000       -3.2645753       0.49163711       -3.2645753       0.49163711
  6919.0000       -3.2696690       0.49150910       -3.2696690       0.49150910
  6920.0000       -3.2747911       0.49138115       -3.2747911       0.49138115
  6921.0000       -3.2799418       0.49125324       -3.2799418       0.49125324
  6922.0000       -3.2851215       0.49112538       -3.2851215       0.49112538
  6923.0000       -3.2903304       0.49099758       -3.2903304       0.49099758
  6924.0000       -3.2955690       0.49086983       -3.2955690       0.49086983
  6925.0000       -3.3008374       0.49074212       -3.3008374       0.49074212
  6926.0000       -3.3061361       0.49061447       -3.3061361       0.49061447
  6927.0000       -3.3114654       0.49048687       -3.3114654       0.49048687
  6928.0000       -3.3168256       0.49035932       -3.3168256       0.49035932
  6929.0000       -3.3222171       0.49023181       -3.3222171       0.49023181
  6930.0000       -3.3276401       0.49010436       -3.3276401       0.49010436
  6931.0000       -3.3330952       0.48997696       -3.3330952       0.48997696
  6932.0000       -3.3385825       0.48984961       -3.3385825       0.48984961
  6933.0000       -3.3441026       0.48972231       -3.3441026       0.48972231
  6934.0000       -3.3496557       0.48959506       -3.3496557       0.48959506
  6935.0000       -3.3552423       0.48946786       -3.3552423       0.48946786
  6936.0000       -3.3608627       0.48934071       -3.3608627       0.48934071
  6937.0000       -3.3665174       0.48921361       -3.3665174       0.48921361
  6938.0000       -3.3722067       0.48908657       -3.3722067       0.48908657
  6939.0000       -3.3779310       0.48895957       -3.3779310       0.48895957
  6940.0000       -3.3836908       0.48883262       -3.3836908       0.48883262
  6941.0000       -3.3894865       0.48870572       -3.3894865       0.48870572
  6942.0000       -3.3953185       0.48857887       -3.3953185       0.48857887
  6943.0000       -3.4011872       0.48845207       -3.4011872       0.48845207
  6944.0000       -3.4070931       0.48832533       -3.4070931       0.48832533
  6945.0000       -3.4130367       0.48819863       -3.4130367       0.48819863
  6946.0000       -3.4190184       0.48807198       -3.4190184       0.48807198
  6947.0000       -3.4250386       0.48794538       -3.4250386       0.48794538
  6948.0000       -3.4310979       0.48781883       -3.4310979       0.48781883
  6949.0000       -3.4371968       0.48769234       -3.4371968       0.48769234
  6950.0000       -3.4433357       0.48756589       -3.4433357       0.48756589
  6951.0000       -3.4495151       0.48743949       -3.4495151       0.48743949
  6952.0000       -3.4557356       0.48731314       -3.4557356       0.48731314
  6953.0000       -3.4619977       0.48718684       -3.4619977       0.48718684
  6954.0000       -3.4683019       0.48706059       -3.4683019       0.48706059
  6955.0000       -3.4746488       0.48693439       -3.4746488       0.48693439
  6956.0000       -3.4810388       0.48680824       -3.4810388       0.48680824
  6957.0000       -3.4874727       0.48668214       -3.4874727       0.48668214
  6958.0000       -3.4939510       0.48655609       -3.4939510       0.48655609
  6959.0000       -3.5004742       0.48643009       -3.5004742       0.48643009
  6960.0000       -3.5070429       0.48630414       -3.5070429       0.48630414
  6961.0000       -3.5136579       0.48617824       -3.5136579       0.48617824
  6962.0000       -3.5203196       0.48605239       -3.5203196       0.48605239
  6963.0000       -3.5270288       0.48592658       -3.5270288       0.48592658
  6964.0000       -3.5337860       0.48580083       -3.5337860       0.48580083
  6965.0000       -3.5405920       0.48567513       -3.5405920       0.48567513
  6966.0000       -3.5474474       0.48554947       -3.5474474       0.48554947
  6967.0000       -3.5543530       0.48542387       -3.5543530       0.48542387
  6968.0000       -3.5613093       0.48529831       -3.5613093       0.48529831
  6969.0000       -3.5683172       0.48517281       -3.5683172       0.48517281
  6970.0000       -3.5753774       0.48504735       -3.5753774       0.48504735
