# Cu foil at 10K
# This data was fabricated from real EXAFS data
# as an example for ifeffit processing
#------------------------
# energy         i0            i1
  8.992568     11796929       438246.94
  8.993048     11794749       447997.51
  8.993526     11793901       465531.99
  8.994006     11794617       483725.94
  8.994484     11796534       503552.54
  8.995007     11799066       526171.73
  8.995485     11800797       544198.11
  8.995965     11801306       554630.72
  8.996444     11800471       561975.78
  8.996924     11798749       565015.28
  8.997402     11797009       560204.72
  8.997882     11796165       548954.60
  8.998361     11796855       531141.39
  8.998840     11799154       498397.60
  8.999319     11802538       481922.75
  8.999799     11806061       456200.47
  9.000366     11808986       433847.92
  9.000803     11809624       417782.96
  9.001281     11808586       410519.81
  9.001762     11806207       411699.90
  9.002241     11803436       419525.77
  9.002721     11801274       437629.54
  9.003201     11800450       447853.41
  9.003681     11801126       466819.78
  9.004161     11802848       477212.63
  9.004642     11804729       505054.06
  9.005121     11805780       518102.72
  9.005602     11805329       534641.97
  9.006125     11803019       551619.55
  9.006605     11799829       562618.81
  9.007086     11796654       574293.26
  9.007566     11794605       590208.28
  9.008047     11794460       601578.58
  9.008526     11796396       614108.93
  9.009007     11799950       622831.22
  9.009487     11804136       628275.16
  9.009969     11807859       629711.39
  9.011062     11810802       623337.95
  9.012153     11808006       614350.80
  9.013246     11807766       599309.85
  9.014384     11810934       582942.78
  9.015565     11808691       552795.46
  9.016746     11800611       525390.40
  9.017928     11799099       504975.78
  9.019154     11807181       476970.74
  9.020380     11810872       450933.43
  9.021606     11805356       431323.18
  9.022877     11803847       416595.10
  9.024191     11811173       415244.79
  9.025464     11812976       428180.93
  9.026822     11807870       454790.35
  9.028140     11809640       482566.34
  9.029499     11813647       517779.62
  9.030903     11806842       545816.87
  9.032309     11801852       565174.07
  9.033759     11809301       579435.15
  9.035164     11811632       582524.42
  9.036615     11807917       576789.57
  9.038109     11815332       563758.67
  9.039604     11820528       551850.40
  9.041145     11810055       548029.18
  9.042642     11806435       553248.89
  9.044271     11810651       559379.46
  9.045768     11807811       555593.85
  9.047397     11813606       541114.11
  9.049029     11822129       526667.48
  9.050616     11813821       522876.55
  9.052336     11813261       525782.68
  9.053969     11820001       524771.74
  9.055646     11812678       513350.91
  9.057324     11813580       497824.22
  9.059047     11818040       484273.34
  9.060814     11813203       475414.03
  9.062627     11823081       467296.48
  9.064353     11824573       457311.66
  9.066166     11817570       442055.17
  9.067981     11822888       427226.63
  9.069842     11814211       415706.04
  9.071702     11815945       415395.95
  9.073563     11827948       426579.38
  9.075470     11824381       449385.86
  9.077377     11828314       482290.87
  9.079329     11819385       510838.38
  9.081283     11819183       534417.94
  9.083237     11828025       556454.26
  9.085281     11820287       568244.94
  9.087237     11829410       571210.11
  9.089283     11826278       583780.65
  9.091330     11828446       616257.95
  9.093378     11826548       647465.86
  9.095472     11820009       670734.26
  9.097610     11829428       676767.38
  9.099705     11825428       662815.32
  9.101847     11837689       639874.25
  9.104033     11826823       609672.17
  9.106221     11826060       578302.34
  9.108409     11825280       550047.09
  9.110644     11834001       532810.63
  9.112879     11834824       529229.77
  9.115160     11830312       537787.41
  9.117398     11835559       548752.65
  9.119728     11828873       551842.51
  9.122057     11834695       530328.02
  9.124389     11832567       480577.71
  9.126721     11843384       424917.79
  9.129099     11834730       398716.12
  9.131478     11838740       397841.04
  9.133904     11829169       409427.44
  9.136331     11844919       422137.14
  9.138805     11841771       436508.79
  9.141279     11842637       464315.66
  9.143756     11834080       503849.59
  9.146233     11844689       557693.69
  9.148803     11839225       621793.11
  9.151328     11846648       692662.73
  9.153899     11844357       759398.62
  9.156474     11841792       804065.90
  9.159094     11841575       809764.85
  9.161716     11842995       771719.25
  9.164339     11853368       708957.33
  9.167009     11842926       640285.39
  9.169681     11844687       580304.92
  9.172399     11843479       543785.95
  9.175074     11855450       525742.21
  9.177842     11846594       528945.65
  9.180564     11850905       550126.10
  9.183381     11849624       570493.27
  9.186153     11847543       580750.23
  9.188973     11860476       585806.67
  9.191794     11851693       602084.04
  9.194663     11854037       627436.69
  9.197533     11851540       632862.46
  9.200406     11860075       604713.00
  9.203326     11862622       548879.93
  9.206247     11850088       497671.16
  9.209217     11861461       481976.27
  9.212143     11859526       480460.35
  9.215115     11860134       488157.44
  9.218183     11865118       509869.13
  9.221160     11854636       549524.44
  9.224185     11861675       604104.29
  9.227258     11871307       660316.07
  9.230333     11858180       705366.27
  9.233502     11861320       734865.13
  9.236581     11870608       749032.00
  9.239755     11862749       743978.72
  9.242838     11871071       721766.51
  9.246016     11866313       705293.33
  9.249196     11865008       705877.59
  9.252425     11878098       703241.55
  9.255655     11872547       697418.78
  9.258889     11863739       694815.88
  9.262171     11880133       685324.07
  9.265454     11879721       663611.65
  9.268787     11867763       643708.53
  9.272122     11879181       631751.83
  9.275459     11880563       625679.97
  9.278800     11877356       624917.76
  9.282188     11876999       626079.23
  9.285580     11881425       620408.12
  9.289021     11882171       611245.88
  9.292465     11880035       599288.77
  9.295910     11880364       589461.99
  9.299404     11888728       602728.59
  9.302949     11880719       632178.72
  9.306403     11885703       661193.50
  9.309953     11888253       694184.71
  9.313506     11889789       725846.27
  9.317061     11887923       740584.89
  9.320666     11887776       736203.02
  9.324320     11896390       722330.11
  9.327932     11896807       711329.21
  9.331592     11885951       720516.58
  9.335256     11895879       750631.88
  9.338922     11901197       790425.41
  9.342639     11899101       809375.66
  9.346358     11889706       789670.11
  9.350128     11896949       770394.89
  9.353900     11908018       770495.03
  9.357677     11897209       761383.48
  9.361455     11900639       748950.14
  9.365285     11899096       743314.87
  9.369165     11903863       737725.10
  9.373048     11905907       731407.60
  9.376840     11911077       726143.11
  9.380777     11906182       720596.29
  9.384671     11899207       716544.98
  9.388614     11914485       715796.68
  9.392563     11913689       714614.61
  9.396561     11914783       714210.09
  9.400515     11912309       717195.56
  9.404567     11912975       729226.52
  9.408576     11908028       753310.92
  9.412637     11915222       786287.92
  9.416700     11925229       814647.49
  9.420768     11914940       824257.81
  9.424935     11922604       824320.50
  9.429010     11916362       815994.55
  9.433184     11915478       803643.31
  9.437313     11918166       796981.96
  9.441495     11928109       800673.30
  9.445729     11925623       812236.48
  9.449966     11930410       836685.18
  9.454208     11932541       861307.40
  9.458453     11924980       865065.88
  9.462702     11925617       856826.13
  9.467004     11929166       859597.81
  9.471358     11924779       871006.81
  9.475668     11931027       877137.33
  9.480029     11938973       878034.92
  9.484396     11931766       870348.33
  9.488814     11943256       858427.34
  9.493189     11939844       847072.50
  9.497665     11936881       833728.78
  9.502097     11941221       818106.57
  9.506581     11939687       804837.29
  9.511118     11933870       800231.32
  9.515563     11945203       807472.58
  9.520109     11936336       827229.79
  9.524611     11942045       864734.61
  9.529265     11946690       904903.67
  9.533775     11943544       921850.62
  9.538438     11947662       926947.47
  9.543007     11954288       928748.80
  9.547679     11947195       930209.49
  9.552306     11957610       930020.04
  9.556986     11956549       926079.82
  9.561673     11955105       925136.80
  9.566462     11963406       932253.47
  9.571157     11959095       936852.94
  9.575956     11964316       940323.35
  9.580661     11964584       948002.59
  9.585470     11965159       964705.91
  9.590283     11967621       973119.65
  9.595102     11967723       973687.62
  9.599976     11966106       975056.55
  9.604854     11974679       971389.59
  9.609737     11964084       966587.11
  9.614625     11975078       968574.01
  9.619568     11972598       969056.38
  9.624518     11970449       964236.20
  9.629471     11978230       957686.18
  9.634431     11972193       959277.10
  9.639445     11979791       968340.13
  9.644466     11973810       977393.18
  9.649541     11976442       987080.73
  9.654571     11978818       993541.87
  9.659708     11972461       1002096.3
  9.664750     11976343       1017213.7
  9.669847     11975564       1028351.7
  9.675001     11976423       1034936.4
  9.680159     11978002       1039195.5
  9.685324     11978482       1039480.3
  9.690545     11986014       1046235.5
  9.695722     11987112       1059652.6
  9.700953     11989148       1064642.3
  9.706243     11993036       1066122.4
  9.711486     11993168       1071018.6
  9.716788     11994480       1080976.2
  9.722094     11988284       1088066.1
  9.727407     11989496       1093608.7
  9.732776     11987870       1103097.7
  9.738204     11991102       1105352.1
  9.743535     11992824       1103791.9
  9.748923     11994435       1102154.4
  9.754317     12004078       1096284.1
  9.759769     11999568       1095909.6
  9.765227     12005167       1099738.2
  9.770742     11995018       1102623.6
  9.776212     11997533       1112852.0
  9.781793     12002408       1128760.7
  9.787275     12000003       1139701.0
  9.792816     12012871       1143127.2
  9.798416     12002847       1141741.7
  9.804022     12009210       1143517.3
  9.809584     12003555       1145243.1
  9.815254     12004159       1152656.3
  9.820880     12009018       1167181.5
  9.826564     12012524       1180649.6
  9.832308     12015081       1192870.5
  9.837953     12013635       1201422.5
  9.843659     12013262       1206026.7
  9.849422     12007605       1210871.3
  9.855192     12021497       1220228.9
  9.860971     12013937       1225282.4
  9.866755     12020776       1232366.7
  9.872600     12013450       1237269.4
  9.878450     12016478       1240125.9
  9.884310     12021704       1245754.9
  9.890175     12026875       1250530.3
  9.896100     12018552       1249137.7
  9.901980     12018752       1248968.6
  9.907920     12025329       1252876.6
  9.913867     12025762       1258112.0
  9.919876     12030633       1264920.3
  9.925838     12019867       1272018.3
  9.931859     12023514       1279414.1
  9.937890     12027301       1286232.2
  9.943980     12033308       1295528.2
  9.950025     12019570       1305443.9
  9.956132     12033189       1315376.0
  9.962300     12034319       1323102.7
  9.968367     12034539       1326944.3
  9.974497     12023936       1329450.0
  9.980687     12037149       1334730.8
  9.986832     12030355       1344725.6
  9.993038     12032404       1353522.4
  9.999253     12028219       1356987.9
  10.00553     12040958       1366735.4
  10.01176     12032432       1376034.4
  10.01805     12037933       1386299.2
  10.02435     12036414       1394099.3
  10.03066     12042536       1401113.2
  10.03703     12030646       1407601.6
  10.04336     12041965       1417715.3
  10.04974     12036159       1423132.4
  10.05614     12036501       1427838.5
  10.06254     12035433       1427740.4
  10.06896     12047537       1428721.9
  10.07543     12032407       1432781.4
  10.08192     12045229       1441784.5
  10.08846     12046116       1450897.4
  10.09491     12042283       1456978.8
  10.10142     12039450       1463726.8
  10.10794     12051512       1473642.3
  10.11452     12037949       1481828.9
  10.12111     12045018       1491104.6
  10.12771     12042767       1500360.2
  10.13432     12042310       1507185.9
  10.14105     12049123       1515171.8
  10.14768     12040457       1522260.5
  10.15431     12044624       1529812.9
  10.16101     12049715       1534175.4
  10.16778     12044004       1541435.2
  10.17449     12043330       1551121.1
  10.18128     12047751       1561954.7
  10.18807     12042260       1571218.0
  10.19482     12054199       1581201.6
  10.20163     12037516       1587204.2
  10.20845     12053173       1597000.1
  10.21528     12046797       1602528.7
  10.22217     12050046       1608093.8
  10.22913     12048872       1612234.4
  10.23599     12041500       1616719.4
  10.24286     12055333       1625722.2
  10.24985     12042027       1633864.1
  10.25679     12053664       1644536.6
  10.26380     12039894       1648602.0
  10.27082     12052646       1658360.2
  10.27785     12048230       1665502.3
  10.28489     12049406       1672309.1
  10.29188     12048856       1680867.0
  10.29905     12041129       1688590.6
  10.30612     12053528       1697370.7
  10.31320     12040907       1704186.3
  10.32041     12053987       1715638.8
  10.32750     12036968       1723574.9
  10.33473     12051067       1736188.5
  10.34185     12042556       1744633.8
  10.34909     12051343       1754870.5
  10.35635     12044012       1761691.8
  10.36361     12043840       1768929.1
  10.37089     12041199       1777324.2
  10.37817     12045944       1787158.7
  10.38547     12042641       1796542.1
  10.39278     12050496       1807158.7
  10.40010     12037203       1814300.6
  10.40748     12050381       1823679.7
  10.41482     12037310       1827714.0
  10.42223     12051704       1837353.2
  10.42965     12042813       1846439.3
  10.43714     12043545       1857835.1
  10.44458     12044008       1865925.7
  10.45203     12035827       1874154.8
  10.45955     12046935       1885338.3
  10.46708     12038014       1891069.3
  10.47463     12045744       1901512.1
  10.48218     12038341       1909120.5
  10.48975     12036973       1917522.5
  10.49732     12035698       1926775.8
  10.50497     12035254       1935903.6
  10.51257     12038504       1946473.3
  10.52024     12039202       1957275.0
  10.52792     12040308       1967913.9
  10.53562     12035243       1977331.6
  10.54332     12035885       1987418.7
  10.55104     12029488       1996480.6
  10.55877     12030885       2007760.9
  10.56650     12032788       2019096.7
  10.57432     12029135       2028942.3
  10.58220     12035907       2040233.9
  10.58991     12030499       2049033.1
  10.59776     12029062       2058014.2
  10.60562     12031152       2067113.7
  10.61355     12022519       2076312.5
  10.62143     12025866       2087388.7
  10.62933     12026645       2098575.1
  10.63730     12023224       2107526.8
  10.64521     12029117       2117709.6
  10.65321     12026911       2127632.2
  10.66121     12022768       2137286.8
  10.66923     12022606       2148516.7
  10.67726     12018722       2158698.8
  10.68530     12016074       2169065.0
  10.69335     12017224       2179479.2
  10.70154     12020625       2190143.2
  10.70956     12019629       2200104.9
  10.71771     12017052       2210908.7
  10.72581     12021067       2221620.1
  10.73399     12015598       2231581.7
  10.74224     12008531       2241569.5
  10.75038     12016630       2254584.0
  10.75860     12012034       2265267.7
  10.76683     12000799       2275202.8
  10.77514     12010224       2289579.7
  10.78339     12011549       2300661.2
  10.79172     12000293       2310320.1
  10.80000     12008362       2322493.2
  10.80836     12012868       2333250.6
  10.81673     12000543       2341121.0
  10.82505     12000207       2352432.4
  10.83345     12006579       2365999.9
  10.84186     12003952       2375839.7
  10.85041     12001388       2387405.8
  10.85878     11996098       2397799.4
  10.86723     11993741       2408757.2
  10.87576     11999810       2422388.0
  10.88423     11995069       2432439.5
  10.89285     11983517       2442942.2
  10.90129     11989846       2455614.8
  10.90994     11997625       2469243.3
  10.91847     11989247       2478982.5
  10.92708     11983928       2490101.3
  10.93570     11986877       2502658.3
  10.94440     11986326       2514272.6
  10.95299     11988356       2527290.6
  10.96165     11989031       2539647.2
  10.97040     11980198       2550741.5
  10.97909     11978694       2563500.1
  10.98786     11989569       2578093.1
  10.99665     11989152       2591265.2
  11.00532     11977160       2600447.4
  11.01414     11976118       2613147.6
  11.02297     11979585       2626764.8
  11.03181     11976969       2638420.7
  11.04067     11979062       2651669.2
  11.04954     11983907       2665126.8
  11.05843     11976473       2675312.3
  11.06733     11966270       2687202.9
  11.07625     11968699       2699446.8
  11.08518     11973434       2713668.3
  11.09412     11971654       2726328.1
  11.10315     11972509       2736446.2
  11.11213     11975241       2752342.3
  11.12125     11968853       2764472.1
  11.13019     11958924       2775008.3
  11.13934     11960819       2788573.7
  11.14838     11965116       2802683.7
  11.15743     11962346       2815432.5
  11.16656     11963302       2828942.1
  11.17578     11970106       2844033.8
  11.18487     11966966       2856336.8
  11.19405     11956763       2867690.8
  11.20331     11956916       2881854.1
  11.21245     11958826       2894260.4
  11.22168     11951763       2907614.0
  11.23098     11948380       2920455.9
  11.24017     11954240       2935260.0
  11.24951     11954797       2948945.5
  11.25880     11951126       2961866.0
  11.26817     11950589       2975894.2
  11.27755     11953773       2990381.6
  11.28682     11956711       3003873.8
  11.29624     11952639       3017281.0
  11.30560     11947566       3030942.4
  11.31505     11951347       3045307.8
  11.32452     11951927       3059796.7
  11.33393     11943869       3070554.3
  11.34343     11943629       3085516.3
  11.35294     11948013       3099494.3
  11.36247     11948175       3115125.8
